curp,nombre,apellidoPaterno,apellidoMaterno,fecha
LWQD986690FVAJXD22,Alva,Gedge,Tack,1963-05-02
XFMN672293FXGZWB70,Erick,Mertin,Tenaunt,1938-11-18
WHDW773472FYWTZJ15,Barris,Wythe,Bezley,1928-09-09
NKNY172277FWHIJI71,Veronique,Rickhuss,Songhurst,1982-07-10
OXIL430780FFFHHC55,Marilin,Couchman,Emer,1935-01-02
OSQH562184FKWECB46,Genia,Coulsen,Buttrick,1989-12-06
XACF813158HIEYBJ07,Weston,Double,Snozzwell,1946-05-16
RAVS589230FIDXNC70,Pierson,McQuarrie,Chatain,1990-12-15
ASWK026062HNTWEV31,Art,St Angel,Leman,1945-09-04
ZRHU859525HBKIJN61,Paul,Buckner,Shimmings,1968-08-18
UNNB029134FGJEBD51,Rebbecca,Pineaux,Lanfere,1946-03-25
XPUH380193FAMZAS89,Sallee,Spruce,Pudsall,2000-04-13
LHIX639769FVHAGI53,Dale,Costin,Magnay,1960-06-02
ZFVM760472FGNNBM63,Kalle,Woolard,Joubert,1974-07-04
CRKB304646FJNGOH72,Dorine,Gilvear,Dracksford,1939-07-03
LBIM219975HZAPSV59,Dugald,Fesby,Scotchmoor,1926-07-02
ZLJL876014FRHIOX63,Modestia,McCane,Feore,1928-11-10
RKVT861171FAGWGE60,Thaine,Beardsworth,Mobius,1969-11-20
SDBD156541HGFCTH07,Arielle,Heustace,Pyle,1939-07-21
IFPV242824HGYFXZ35,Tori,Laughtisse,Pridmore,1983-03-23
HHXD804667FIGWNB97,Humfried,Reims,Beetham,1944-05-26
NAIH897253HATQIJ05,Cyrus,Letford,Longfut,1986-07-06
VEXW014000FRIYND40,Felicio,Treacy,Luddy,1973-10-14
MWRG522924HVAVLU29,Frazer,Kubalek,Stonhard,1980-06-09
KGRI548972HKVLFP60,Shaun,Matushevitz,Giscken,1959-02-15
JDUN547921FMNDQD67,Cory,Weepers,Luna,1977-11-20
MUGL304190FIDGFD55,Rowen,Dachey,Sirman,1930-06-12
RXHZ563116HAFVFB64,Deirdre,McCarney,Habbema,2000-08-06
IQWM848339FTYWVP46,Phineas,Ashbridge,Gilbanks,1940-06-19
NOMB303038HLKCPS66,Bernadine,Bridgestock,Du Fray,1941-07-08
TQIF669851FEJOTM87,Phil,Crowter,Wooller,1992-02-05
BNTZ712748FQFDHQ37,Judon,Ludlow,Halson,2001-08-18
WBBK254944FRRKTP43,Odelia,Licciardello,Broy,1927-08-16
MWZJ974936HCQIBI07,Delmar,Dossit,Erskin,1973-09-08
JCTT814741HVQYMR27,Tatiana,Goady,Seakes,1975-08-05
NTLF998985HVQAKT87,Bettina,McCrow,Frankton,1998-03-31
NTTW993919FSZOWJ31,Kathy,Upsale,Panting,2000-01-01
DBQD239970HKSBZQ13,Katalin,Minney,Mulholland,1956-07-27
SKYG474966HACTVP71,Worthington,Glastonbury,Merali,1990-09-19
NKQE560291FTHCDJ64,Artemus,Haffenden,Calfe,1978-05-15
RKRN546933HUMVOA05,Gerry,Preddle,Rockcliffe,1962-08-26
IFTW101240HSORTG00,Val,Rewcastle,Wilmore,1956-03-25
OBMU581832FWPZFH32,Myrlene,McQuin,Salisbury,1995-08-28
GFTY850879FRZQKX88,Daven,McGeneay,Coppens,1967-11-21
PBKX599956FRGGXJ89,Kirsten,Daymont,Barday,1962-09-08
GGFE557286HZUFKO96,Janos,Shardlow,Acock,1980-11-28
RHMX376772FDQJLW74,Jocelyne,Pablo,Tarbath,1943-11-03
NXBF969952FYUHWM21,Pierrette,Winman,Sweetzer,1931-02-12
PHVT820433HTNGTZ25,Cooper,Puzey,Dominguez,1932-10-22
SLMO871317FCKDNT74,Horace,Waring,Nourse,1938-04-15
WZKV248305HMGJHO35,Ingeborg,Oxborough,Tommasetti,2000-12-01
OASG745680FOPNKW15,Nydia,Coping,Chetter,1965-10-24
IGGO705075FKEYNJ67,Pamela,Bage,Rooze,1989-05-04
WQSV772124HEBICQ59,Yurik,Todarini,MacElharge,1976-02-16
GVAI906721FOKWCD12,Nike,Matskevich,Manley,1968-11-28
JXIJ461810HMBLAV59,Alwyn,Lampl,Keasy,1960-09-03
WRAQ119916HEKTCJ07,Sydney,Keenor,McGlew,1951-01-28
AVRA769766FWWPDY09,Stillman,Cluff,McCarlie,1939-06-02
ZJCR192330HZKOBG82,Yankee,Ert,Antonutti,1942-07-10
QYUP745123FOINIS71,Cristen,Butlin,Beckinsall,1930-05-17
ALRT859505HHHYMS29,Erinna,Gorrie,Coat,1924-05-03
QUSG080015FOWJRW31,Cara,Dullard,Graalmans,1925-12-26
LDVF912643HHOXTY93,Akim,Smeath,Ladson,1969-04-20
QRUY700545FQZZBA76,Estrella,Selkirk,Frossell,2002-02-07
EOKO944154FLJPCW69,Shoshana,Maddin,Meechan,1973-07-28
QWJW222132HJYJPX48,Fernandina,Gaylard,Caush,1961-11-28
ITFF650120FQECXA89,Gilberto,Jouanny,Shoesmith,1949-04-27
EVMW309015FEXYWB96,Massimiliano,Simukov,Tofanelli,1974-04-14
LPZM299187HWVWWD17,Salome,Applewhaite,Chritchlow,1972-03-04
NASH782489HTBNUD07,Ninette,Benedito,Bartley,1955-02-15
BEXQ639250HUIRKD81,Marcelo,Fasse,Gaitung,1969-03-28
DHWI274176HHFKEY82,Bernette,Salway,Davidesco,1923-11-09
OELR519764FPZEEO93,Emmett,Bowhey,Pickersail,1981-09-30
ZRVL516682FIJHHY73,Jethro,Chritchlow,Lewins,1925-04-26
JKLJ950663FERXAW69,Karney,Souch,Merington,1927-07-17
PVOI124326FUVMYZ27,Chevy,Cruise,Jerke,1968-04-13
XKLE815663FXDKPC58,Gloria,Wennington,McClure,1934-07-20
GXFU681793FIVTIB29,Alix,Faley,Faunt,1931-02-13
SEPX199830HMOZYZ10,Harold,Slowan,McUre,1927-11-02
QJRW785302HNGKDU62,Kai,Raffles,Labusch,1935-04-24
GNVR090966HKEAGU29,Kellen,Kiloh,Kira,1961-10-01
CHLS069624FPOYZY37,Louisette,MacPike,Costellow,2003-09-21
AOCQ113184FYXIDY13,Helenelizabeth,Schwartz,Pettigree,1952-09-14
IWUU791776FEHJNP21,Rem,Willers,Newarte,1924-01-21
ISRT981363FCTAPV12,Aleen,Alexandre,Lody,1970-07-20
VAZT711819FXWWII60,Riane,Halliday,Botley,1960-02-07
MYEF708752HEWHAN23,Bancroft,Burnie,Gregore,1995-03-28
YVEQ574114FDYIVC58,Karee,Summerson,Holtaway,1990-03-09
TRTT143614FEWJBF34,Faydra,Farnell,MacAlees,1969-09-25
WLHJ502009HNVOXH43,Babb,Boarer,Del Dello,1949-03-14
ZATO072731FQIKEZ73,Bobby,Addicott,Sigg,1996-01-18
ONCW389114FGPWTU18,Adrien,Eronie,Brownfield,1950-09-16
PXWN045540HHTBOC69,Odilia,Baptie,Imlin,1939-10-14
XUOF842416FOHPLP32,Rayner,Gookey,Petofi,1923-11-18
BAEI787035HCZIIX80,Blinni,Bandy,Beaves,1962-08-31
QEKS694703FLPTYM35,Yetta,Eteen,Swallwell,1981-02-21
FJBT295359HPTFBQ75,Osbourne,Buyers,Dodgshon,1930-01-05
BTSM249994FNLDIP76,Norrie,Brasner,Quayle,1957-06-02
WGEI951067HHHQLB69,Kira,Monte,Leversuch,1942-06-19
FCFN384415HCZWOB92,Ramon,Brabyn,Entreis,1945-12-09
VHXY257082HZVJXF04,Zerk,Rainon,Ofen,1956-03-11
GJPL932331FXQCQO87,Pip,Gumb,Girk,1950-05-08
AIHE814246FSIXUV19,Hunter,Carrick,Payne,1943-06-25
KWLS585965FJFIBY06,Brianna,Kenway,Dennant,1964-10-29
SBMK131809FYAMYC71,Mada,Collard,Higginbottam,1989-12-14
GKNL898017HJQMML00,Berenice,Wadhams,Dinsey,1966-04-10
ANYZ577121FJBXES90,Yoshiko,Gilmore,Bourdice,1978-08-23
RELR363469FXYTLD64,Moishe,Stonall,Brafield,1993-12-13
HLGE207157FPQMFP53,Purcell,Corderoy,Lenihan,1950-04-20
LIWD168793HMMWVG16,Ximenez,Zannotti,Beaty,1923-11-29
WLFX135146FJLUID19,Derick,Reddick,Yearnes,1937-08-09
MVPV929811FFJGSJ57,Lucienne,Tollady,Densie,1943-03-10
AIUR680981FMCRMF94,Major,Ramsdell,Donnel,1926-09-07
CYFJ445174HZARZA29,Major,Menco,Doget,1972-09-01
DGNF590733FNCJKZ64,Garrek,Winny,Fullbrook,1941-03-05
IYFX030037HCPNOY99,Scarface,Nashe,Ivory,2000-11-18
PGAM929528FEWQPD71,Allan,Fryd,Tenby,2000-12-09
QBWZ965056FNYGAT68,Vincenz,Loffhead,Strangeways,1961-10-11
GCMR731325FVJYYH01,Darcie,Neeson,Weightman,1968-01-07
UJZL746459HJQTHW53,Felicio,Gorke,Pisco,1972-08-28
NYPJ605005HFAGWB86,Gizela,Marchand,Martensen,1944-04-25
NFWT520914HWJADE37,Shay,Agglione,Minster,1945-12-17
QWUC894490HEWKBK57,Janetta,Castelletto,Chew,1981-02-06
RCMU432473HTXHNL37,Janene,McKelvey,Flucker,1986-02-23
PWBW070529HLKITI05,Adina,Antyukhin,Northern,1972-05-04
RBKM489995HIREVW49,Gracie,Scantleberry,Jaquemar,1993-06-06
BGVJ891605FNXUDV86,Marsh,Gunny,Damsell,1958-01-24
OYYX536643HHRQVL55,Percy,D'Orsay,Guidetti,1969-03-28
NXOZ334958HVYWPT49,Francene,Dewbury,Weekes,1955-09-06
UQET599503HOBMGH42,Miguela,Daubney,I'anson,1933-01-22
LJPD562431HHOPIF21,Codee,Reasce,Mewhirter,1936-08-04
IDVQ671054FSWXSJ10,Antony,Wyllie,Pavlishchev,1928-06-18
GUGO299547FTFXQA30,Lian,Dunican,Kipling,1949-05-24
QAXP046310HWSJDY34,Bald,D'Arrigo,Wigsell,1935-08-17
LBGO312847HXVXOL10,Vinny,Purdie,Charlson,1929-08-12
HIHQ071139HERUVJ35,Juan,Smeeth,Cuerdall,1981-10-11
WUMM153058FNVGDL98,Floria,Featenby,Monelle,1924-12-10
DLWL529064FIOXOT41,Rosemonde,Swayte,Fernez,1978-06-15
UMCE528328HUBGRK86,Zane,Dunk,Hardingham,1998-03-01
PHJX489013HZRSGS60,Tibold,Dankersley,Stirrup,1954-01-05
NCCO934146HSLTAH14,Venus,Boat,Kilpatrick,1978-07-24
KRUY570539FVXVKT67,Deeyn,Valencia,Clyde,1931-09-18
OVRZ036659FZCRWI07,Torrence,Marskell,Giddins,1998-08-20
NYEG386568FHOVQU96,Jemima,Sharram,Nend,1966-05-01
XIVU362211FHYHQR55,Sutherlan,Plumm,Cauthra,1987-11-01
QWXA595457HEJRGO69,Bailie,Doddridge,Creedland,1977-04-09
XCSJ549949HEQQYN11,Edi,Terrill,Cowper,1981-11-12
UZCL121827FIZFRX66,Vaughan,Hennington,Canny,1940-02-06
MDFN959280HVYLAV57,Antin,Cockcroft,Keme,1996-07-10
CKWH863250FPVXDX83,Edouard,Peert,Emery,1965-11-09
KJEZ338711FJBUNP23,Marlon,Jimson,Pales,1978-04-30
UPEX739786FIHHLJ04,Nadine,Rignoldes,Baradel,1971-01-18
BSWQ404189HRQXLY12,Tommie,Stronach,Jurges,1969-03-09
XCGB736559FOOYZE72,Van,Calwell,Tomich,1955-09-20
AQZV023792HJCMCY54,Roderick,Alvares,Gissing,1937-02-12
KBVL601475FQINEO66,Robb,Gillatt,Paten,1999-06-18
DBCV559305FPGLBA28,Melonie,Izkovitch,Koch,1953-11-23
EBYQ443419FIKECW03,Bobbi,Askam,Neles,1932-05-06
FBMP758230FVBRVG92,Suzann,Palliser,Dew,1935-09-28
RWDN779417FZOCDU81,Iolande,Sacase,Zuanazzi,1953-11-16
IGGU116504FRURIF50,Torrey,Biesinger,McGeechan,1971-05-13
PNKO881039HIZJLE41,Gifford,Fritchley,Schulze,1947-03-11
ZOJA161143HXOQSL06,Orland,Janks,Onthank,1965-11-10
RNOD813480FHGNTC52,Mel,Jakubovicz,Kubiak,1926-01-19
DFAY961614HFBHQJ84,Archibold,Croneen,Pedgrift,1952-10-30
RRGB894932FSQQTT51,Alfred,Gwynn,Townend,1983-09-26
PNAB559134HXLGLV43,Torrey,Boken,Alonso,1964-03-04
HVUY758705HWWGMY08,Rocky,Peachman,Belderfield,1926-07-22
VDZY163921FWLEYS63,Damara,Hackly,Kelf,1978-05-09
XFTL178971HHMQZT40,Alice,Sundin,Quenell,1959-08-20
CCQG816504HDVQOD53,Catherine,Ivanov,O' Loughran,1945-04-07
TKNV322345FKSPPS60,Brandea,Chaudrelle,Greengrass,1999-08-09
DHPX287086FESMAW04,Kania,Danbye,MacPaik,1925-12-05
YUJW727882FDKNYC94,Clem,Grundon,Neate,1930-05-22
QLCI296391HWSSTP14,Mira,Ambrosini,Dominguez,1935-02-07
PNNM960707HKXTAM53,Gustaf,Joiris,Streat,1965-08-23
QCHP521611HCUBYK09,Wylie,Dodell,Millichap,1984-09-13
KVBK827431FBIYSM05,Elbertine,Langman,Chatain,1993-04-19
HVBM366674HTLIGU44,Kitti,Hackworthy,Bourgourd,1995-11-17
AVCL520886FXMVPZ67,Kellyann,Cumberland,Astupenas,1939-03-21
YSXV848571HEDYBZ00,Ted,Sheward,Cockcroft,1934-12-09
BONG200392HTHRLE05,Karrah,Borit,D'Arrigo,1957-01-21
VMNJ643762FDUJJX13,Kele,Godding,Finnigan,1949-12-14
WQHR809500FLIEEH94,Roslyn,Yitshak,Wilcocks,1970-12-10
QRYB834894FGJLLT78,Dasie,Vink,Eisikowitch,1925-01-06
ZGVQ792542FLPOPA28,Sofie,O'Harney,Boykett,2004-03-23
PBGZ916364HDXKVL97,Mary,Swinbourne,Prudence,1924-03-28
VWQM630162HNNURM80,Dalis,Arnoldi,Thiem,1965-12-22
IPOU978068FTEOWV57,Olimpia,Lighten,Bloxland,1972-04-24
AOLY363769FHEPUE83,Keslie,Vasyuchov,Aslen,1962-12-09
GHCJ004161FGTPTQ95,Kevon,Antusch,Ivannikov,1944-02-06
XRVM311875FJVIDO19,Emmey,Cottu,Pilmoor,1944-10-15
AAQZ312313FGZJIS31,Rosanna,Pleace,Peiser,1959-07-10
BHXW998885FIRMZU98,Anton,Eaddy,Minor,1936-05-14
YISC685367FDRMUE41,Catlin,Balasini,Pedrick,1991-02-11
BILO521792FCTHSN02,Wendi,Pickersail,Agett,1978-02-08
UGSV822607FWCHPA89,Kellsie,Cleaton,Migheli,1944-03-29
JDBG207372FKXUQM90,Hermina,Egglestone,Suche,1972-10-02
ZCMJ316814FFUWNJ97,Kendrick,Goundry,Hacquoil,1955-11-25
URTW473196HDURFU40,Dore,Ambrogioni,Stansbury,1984-12-25
QIHV246927HULAJR95,Vance,Peaden,Arrigo,1985-10-05
MAOK092011FRGOEM35,Quinlan,Slayford,Flattman,1932-09-17
HKGI891024FVQVIE68,Filippo,Meysham,Bouttell,1977-08-06
KSZH663877FVNPLP72,Avrit,Hart,Bruun,1975-10-28
UPQE581833FMTNIJ99,Rasla,Leopard,Mattussevich,1944-11-29
LRUY592476HZCLLT64,Thomas,Leathem,Nelthropp,1930-01-23
XUGI446320FYMURL48,Ches,Phuprate,Heliet,1939-03-15
AVRZ998239FHWCAS26,Mallory,Turnbull,Tittletross,1965-08-21
COEH407116HSEQVS22,Marisa,Corris,Cassley,1925-07-13
DKLW569371FSKKHS03,De witt,Tadgell,Crammy,1941-10-08
NZUM720883FIULED87,Gerek,Lilburn,Berthe,2001-10-07
IAZO598843HIJUIY59,Hailee,Pluthero,Banbrigge,1997-03-16
DXZP627900FSZTOQ22,Esme,Boerderman,Bellefant,1946-03-26
GNBD456274HLQMDA72,Mignonne,Durdle,Denis,1966-04-25
LSTP731578FCSVFH83,Krystyna,Chinnock,Vaune,1966-12-11
NIXG951292HIOIDN00,Mirabel,Bircher,Walkling,1932-06-09
KFQT596685FTHIXO19,Ange,Piquard,Ber,1963-11-26
IQRZ338935HQWPWE79,Bard,Wais,Gummery,1926-11-11
KGZD111190FCRCTK62,Arabelle,Bramwell,Greenly,1928-11-04
NGGQ970904FJMAWY53,Feodor,Clemot,Screech,1991-03-15
CEBJ910450HGNQPP41,Lavena,Verdy,Kirkby,1967-10-16
QLBE909469HWMLUK28,Teddie,Bazelle,Divine,1982-12-31
HLUG895058FFDWJC89,Garey,Andrews,Aldrich,1970-04-27
BIFD853115FOCAYL25,Randall,Peppard,Playford,1990-10-21
YRJG906309FDJLRP39,Fania,Stenhouse,Dinse,1992-09-17
IAYC703682HZGCIW30,Dennie,Haywood,Dewerson,1935-08-09
VION177352FYAGXE63,Hedvige,Furse,Phorsby,1999-09-12
RXQU271677HVZXEE81,Tammy,Canete,MacFaell,1928-02-08
DLSN543333HWUHTR26,Lexie,Overton,Vlasenko,1996-05-31
TUIK352683HURQRR13,Ford,Damiral,Vanyutin,1934-02-13
AJUR495066FCNQEB02,Winthrop,Copeland,McDonagh,1973-02-28
DJNY074146HGTIMK20,Berthe,Bampton,Losseljong,1994-12-01
WNYP031496FALPZX95,Kirstyn,Girardeau,Botcherby,1971-09-15
ZTCM022710FYPARU59,Maxim,Oliphant,Mattiello,1932-02-25
TYRK847794FEVUJU39,Kaela,Tonepohl,Shynn,1926-06-25
SJJN824235HHYMQK83,Juliana,Bartoszewicz,Flemmich,1956-05-13
WBSD749015HZOFRZ53,Morgan,Betteney,Paley,1941-09-08
EVFA533098HWIZZL57,Schuyler,Lurcock,Sanson,1982-10-15
PTQJ751009FKSBZZ04,Derwin,Trymme,Foro,1942-07-31
KBZZ356732HLKVGC86,Ginny,Torfin,Headey,1967-04-23
LSRC116852HQQQOV18,Cello,Cockerell,Eginton,1982-04-18
MVCL898812FUSYAT58,Stanislaus,Puttnam,Shiel,1929-06-10
SHKZ818672FPYNXL56,Iorgo,Bazek,Sone,1948-01-15
ECXM414509FNEKLR08,Amabel,MacAllister,Thecham,1944-07-07
WFDE048067HKFSTZ52,Teodoor,Scamerdine,Southcott,1992-11-18
ZEKT642804HBDACT44,Bank,Crayker,Hubbuck,1946-08-31
GFLG654318FMXMXH63,Reinwald,Kyneton,Arckoll,1983-11-03
YZCF334088HQGBRU46,Claude,Wayvill,cornhill,1954-05-08
YLVE434260HCRZSL48,Benjamen,Vidineev,Yarker,1926-11-08
FTDX037278FBSLDK32,Kaiser,Scala,Foster-Smith,1953-02-05
FTKB287207HVGPOC23,Jehu,Lanning,Shutler,1981-09-24
IMXD846754FNNOHT16,Jessa,Lomasny,Bourget,1971-10-31
BYSO681474FXHBEB20,Siffre,Lighton,Walters,1990-10-04
ISCY080854FSZPHG95,Ardyth,Kelston,Melody,1961-04-25
DGBM429486HMPIUR71,Rasia,Cheevers,Beynke,2000-01-15
AXVS570952HHTBFR27,Jackson,Gribbin,Thrush,1974-06-21
IXQO453153FAKMWG56,Davie,Gilhouley,Commins,2002-08-06
KGAT645938HJHOVB67,Cecily,Aymes,Skough,1975-12-27
BYGV314233FNGYWE41,Konstanze,L'Episcopi,Todarini,1999-03-05
SQBY784561FGWPOC34,Rosalie,Harteley,Finlator,1980-03-08
AUOI417690HVZERN97,Filberte,Spradbery,Robbe,1960-01-22
WUYU375561FHIYLX63,Dorey,Szymczyk,Smallridge,1962-09-02
WUKM051011HOJJSZ50,Eduard,Brimner,Voce,1950-02-15
ZLVO461484FHLLEY44,Risa,Eustis,Duffield,1990-11-07
XBGY355935FQZLAL03,Mylo,Teodoro,Martinat,1983-08-06
PNZD900764HQBJOA01,Herbie,Mowday,Trainer,1990-07-27
OYCK272977HGHUGI02,Ariella,Shickle,Glass,1983-12-09
WYMT580520HVHTLM89,Dalenna,Tidbold,Lilleman,1977-06-16
YXVN436643HVPTTD26,Pauletta,Sarton,McCandless,1957-08-10
JSAU215162HAETOB89,Ted,Chasier,Hargreaves,1978-05-15
FBPU322559HISAZE38,Sheba,Delamaine,Close,1956-05-17
PLSU965767FREAQC53,Reggis,Maier,Geering,1927-04-08
CFWW442910HLKQQL23,Helen-elizabeth,Revel,Ruckert,2003-09-25
AXNB352778HZNKDV13,Dorene,Spacy,Dee,1933-11-04
FEVC830694FESSTF73,Otho,Kirkebye,Nelsey,1932-10-23
RCTQ964765HUDPNR98,Cristionna,Hosby,Dorre,1946-11-06
ZQKG792795HMDHNK72,Elbertina,Boulger,Antyukhin,1983-06-08
MWZI888840HBCLDF34,Tressa,Rotham,Miller,1997-10-22
EGSP399049FNDNKF08,Aluino,Lancett,Romagnosi,2004-06-11
IEQB694256FQCNYY04,Wolfie,Roderigo,Dallman,1933-01-09
BJON972366HVCJUB49,Tully,Ambler,Kubacki,1941-08-08
HSDE791599HEERQB48,Benito,Cleft,Goodey,2004-12-14
XECV416583FPYBRM80,Regina,Shelborne,Ife,2004-07-30
ZXMH122001HATAAN18,Lona,Cooke,Skea,1973-08-09
AJAV465929HVXXQE38,Welsh,Huster,Ewols,1946-04-12
EKLS618339HKULMY55,Sabina,Liddy,McRitchie,1985-05-23
AKCW523194HVNXTK64,Crysta,Luter,Teasell,1985-08-24
PGVU424258HWZIDI96,Wally,Cluckie,Giovannacc@i,1995-01-06
